,title,price,stars,reviews
220,"Redmi 8A Dual (Midnight Grey, 64 GB)","₹9,999",4.2,"3,105 Ratings & 235 Reviews"
221,"Redmi Note 9 (Pebble Grey, 128 GB)","₹15,178",4.4,"1,216 Ratings & 90 Reviews"
222,Micromax X378,₹834,3.9,"1,712 Ratings & 144 Reviews"
223,Samsung Guru FM Plus SM-B110E/D,"₹1,662",4.3,"49,371 Ratings & 5,265 Reviews"
224,"Samsung Galaxy A51 (Prism Crush Blue, 128 GB)","₹23,999",4.4,"4,922 Ratings & 612 Reviews"
225,Micromax X749,"₹1,286",4.1,671 Ratings & 104 Reviews
226,"Apple iPhone 7 (Silver, 32 GB)","₹29,499",4.5,"92,094 Ratings & 9,127 Reviews"
227,"Samsung Galaxy A51 (Prism Crush White, 128 GB)","₹25,999",4.4,662 Ratings & 48 Reviews
228,"Vivo V19 (Mystic Silver, 128 GB)","₹24,990",4.4,"5,697 Ratings & 556 Reviews"
229,Nokia 105,"₹1,399",4.2,"21,937 Ratings & 2,010 Reviews"
230,"Samsung Galaxy A51 (Prism Crush Black, 128 GB)","₹23,999",4.4,"4,922 Ratings & 612 Reviews"
231,"Samsung Galaxy A10s (Blue, 32 GB)","₹10,990",4.3,"1,494 Ratings & 115 Reviews"
232,"Samsung Galaxy A21s (White, 64 GB)","₹14,999",4.2,"4,726 Ratings & 490 Reviews"
233,"Realme X2 (Pearl White, 256 GB)","₹22,999",4.5,"39,687 Ratings & 4,585 Reviews"
234,"OnePlus 7T (Glacier Blue, 256 GB)","₹37,967",4.6,"8,136 Ratings & 736 Reviews"
235,"Realme X3 (Arctic White, 128 GB)","₹25,999",4.3,"3,624 Ratings & 546 Reviews"
236,I Kall K 32,₹639,3.6,189 Ratings & 19 Reviews
237,Nokia 3310 DS,"₹3,779",3.8,"26,014 Ratings & 2,965 Reviews"
238,Lava A1,₹897,4.2,"69,885 Ratings & 8,073 Reviews"
239,"Realme X2 (Pearl Blue, 128 GB)","₹20,999",4.5,"39,687 Ratings & 4,585 Reviews"
240,Micromax X744,₹999,3.9,"2,846 Ratings & 320 Reviews"
241,"Samsung M01 core (Blue, 16 GB)","₹6,153",4.2,103 Ratings & 7 Reviews
242,Nokia 216/216 DS,"₹2,899",4.3,"24,324 Ratings & 2,800 Reviews"
243,"Lava Z61 Pro (Champagne Gold, 16 GB)","₹5,777",4.1,540 Ratings & 81 Reviews
244,"Samsung Galaxy M11 (Metallic Blue, 64 GB)","₹14,250",4.2,"3,336 Ratings & 277 Reviews"
245,"Vivo Y19 (Magnetic Black, 128 GB)","₹14,990",4.4,"6,022 Ratings & 428 Reviews"
246,"Redmi K20 (Carbon Black, 128 GB)","₹21,999",4.5,"47,629 Ratings & 5,108 Reviews"
247,"OPPO Reno4 Pro (Starry Night, 128 GB)","₹34,990",4.5,499 Ratings & 73 Reviews
248,"OPPO Reno4 Pro (Silky White, 128 GB)","₹34,990",4.5,499 Ratings & 73 Reviews
249,"Samsung Galaxy M11 (Violet, 64 GB)","₹13,849",4.2,"3,336 Ratings & 277 Reviews"
250,Karbonn K9,"₹1,249",4,"4,544 Ratings & 440 Reviews"
